*fmagister	NA
*sire	NA
--	--;FM;VMFIN;PPER
...cion	FM
.i.	--
.ii.	--
.lx.	--
.v.	--
.vi.	--
.xxiiii.	--
.xxx.	--
.xxxii.	--
1	FM
10	--
12	FM
13	FM
16	FM
17	FM
199	FM
2	--;FM
21	FM
23	CARDA
3	FM
34	FM
4	FM
5	FM
50	CARDA
7	CARDA;--;FM
8	FM
9	CARDA;FM
9c	FM
9pletus	FM
?	FM
Aache	NE
Aagremuntîn	NE
Aaron	NE
Abane	NE
Abanes	NE
Abbach	NE
Abdenago	NE
Abdirus	NE
Abdon	FM
Abel	NE
Aben-bërg	NE
Abens-bërg	NE
Abensere	NA
Abensære	NA
Abia	NE
Abiatar	NE
Abiathar	NE
Abibon	NE
Abidan	NE
Abiezar	NE
Abigea	NE
Abilene	NE
Abimelech	NE
Abimelèch	NE
Abira	NE
Abiram	NE
Abiron	NE
Abisag	NE
Abiud	NE
Abner	NE
Abra	NE
Abraham	NE
Abram	NE
Absalon	NE
Absolon	NE
Abstërne	NE
Abub	NE
Abyron	NE
Abysay	NE
Abysse	NE
Acastus	NE
Accommodus	NE
Ach-dorf	NE
Ach-dorfer(e)	NA
Ach-rèin	--
Achaia	NE;FM
Achais	NE
Achamas	NE
Achatius	NE
Achaz	NE
Ache	NE
Acheldemach	NE
Achen	NE
Acheron	NE
Acherontia	NE
Achilles	NE
Achilleus	NE
Achim	NE
Achior	NE
Aciâ	NE
Ackeldamach	NE
Adalrôt	NE
Adam	NE
Addeleit	FM
Addi	NE
Adel(e)n-hûsen	NE
Adel-gêr	NE
Adel-hart	NE
Adel-hèit	NE
Adelber	NE
Adelbolt	NE
Adelbrëht	NE
Adelgôz	NE
Adelhèid	NE
Adelhèit	NE
Adeodatus	NE
Admont	NE
Adolv	NE
Adonai	NE
Adonatus	NE
Adonay	NE
Adonei	NE
Adonias	NE
Adonibesech	NE
Adonis	NE
Adrastus	NE
Adrianus	NE
Adriaticus	NE
Adriân	NE
Adâm	NE
Adân	NE
Aegeas	NE
Aegidius	NE
Aegyptii	NA
Aegyptius	NE
Aegyptus	NE
Aegîdius	NE
Aemilius	NE
Aestius	NE
Aethiopia	NE
Aetius	NE
Afe	NE
Affanes	NE
Affen-zagel	NE
Affra	NE
Affrika	NE
Afra	NE
Africa	NE
Afrikanus	NE
Afrikân	NA
Afrikære	NA
Agamemno	NE
Agapa	NE
Agapetus	NE
Agapitus	NE
Agar	NE
Agarraîn	NE
Agatha	NE
Agathe	NE
Agest	NE
